Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,403,403,2,2.9344853550622068,1.3495909806806594,61.57151400111616,0.0,13.870765984193376,13.870765984193376,2,3,3,3,4,5,7,9,62,62,62
,Aggregated,403,403,2,2.9344853550622068,1.3495909806806594,61.57151400111616,0.0,13.870765984193376,13.870765984193376,2,3,3,3,4,5,7,9,62,62,62
