Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,394,394,2,2.6168293853114277,1.506228989455849,14.408991002710536,0.0,13.560961072632288,13.560961072632288,2,3,3,3,3,4,5,7,14,14,14
,Aggregated,394,394,2,2.6168293853114277,1.506228989455849,14.408991002710536,0.0,13.560961072632288,13.560961072632288,2,3,3,3,3,4,5,7,14,14,14
