Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,379,379,2,2.725857218385288,1.4690700045321137,13.779417990008369,0.0,13.513288928618046,13.513288928618046,2,3,3,3,4,4,6,12,14,14,14
,Aggregated,379,379,2,2.725857218385288,1.4690700045321137,13.779417990008369,0.0,13.513288928618046,13.513288928618046,2,3,3,3,4,4,6,12,14,14,14
